name	year	gross	runtime	genre	imdb	metascore	director	votes	title_length	genre_num
The Birds	1963	11403529	119	Drama	7.7	90	Alfred Hitchcock	171739	9	1
The Magnificent Seven	1960	4905000	128	Action	7.7	74	John Sturges	87719	21	3
Les yeux sans visage	1960	52709	90	Drama	7.7	90	Georges Franju	27620	20	1
The African Queen	1951	536118	105	Adventure	7.7	91	John Huston	71481	17	7
Fantasia	1940	76408097	125	Animation	7.7	96	James Algar	88662	8	8
Searching	2018	26020957	102	Drama	7.6	71	Aneesh Chaganty	140840	9	1
Once Upon a Time... in Hollywood	2019	142502728	161	Comedy	7.6	83	Quentin Tarantino	551309	32	6
Nelyubov	2017	566356	127	Drama	7.6	86	Andrey Zvyagintsev	29765	8	1
The Florida Project	2017	5904366	111	Drama	7.6	92	Sean Baker	95181	19	1
Gifted	2017	24801212	101	Drama	7.6	60	Marc Webb	99643	6	1
The Peanut Butter Falcon	2019	13122642	97	Adventure	7.6	70	Tyler Nilson	66346	24	7
Mustang	2015	845464	97	Drama	7.6	83	Deniz Gamze Ergüven	35785	7	1
Guardians of the Galaxy Vol. 2	2017	389813101	136	Action	7.6	67	James Gunn	569974	30	3
Baby Driver	2017	107825862	113	Action	7.6	86	Edgar Wright	439406	11	3
Only the Brave	2017	18340051	134	Action	7.6	72	Joseph Kosinski	58371	14	3
Bridge of Spies	2015	72313754	142	Drama	7.6	81	Steven Spielberg	287659	15	1
Incredibles 2	2018	608581744	118	Animation	7.6	80	Brad Bird	250057	13	8
Moana	2016	248757044	107	Animation	7.6	81	Ron Clements	272784	5	8
Sicario	2015	46889293	121	Action	7.6	82	Denis Villeneuve	371291	7	3
Creed	2015	109767581	133	Drama	7.6	82	Ryan Coogler	247666	5	1
Leviafan	2014	1092800	140	Crime	7.6	92	Andrey Zvyagintsev	49397	8	2
Hell or High Water	2016	26862450	102	Action	7.6	88	David Mackenzie	204175	18	3
Philomena	2013	37707719	98	Biography	7.6	77	Stephen Frears	94212	9	4
Dawn of the Planet of the Apes	2014	208545589	130	Action	7.6	79	Matt Reeves	411599	30	3
Serbuan maut	2011	4105123	101	Action	7.6	73	Gareth Evans	190531	12	3
End of Watch	2012	41003371	109	Action	7.6	68	David Ayer	228132	12	3
Kari-gurashi no Arietti	2010	19202743	94	Animation	7.6	80	Hiromasa Yonebayashi	80939	23	8
A Star Is Born	2018	215288866	136	Drama	7.6	88	Bradley Cooper	334312	14	1
True Grit	2010	171243005	110	Drama	7.6	80	Ethan Coen	311822	9	1
Hævnen	2010	1008098	118	Drama	7.6	65	Susanne Bier	38491	6	1
Despicable Me	2010	251513985	95	Animation	7.6	72	Pierre Coffin	500851	13	8
50/50	2011	35014192	100	Comedy	7.6	72	Jonathan Levine	315426	5	6
Kick-Ass	2010	48071303	117	Action	7.6	66	Matthew Vaughn	524081	8	3
Moneyball	2011	75605492	133	Biography	7.6	87	Bennett Miller	369529	9	4
La piel que habito	2011	3185812	120	Drama	7.6	70	Pedro Almodóvar	138959	18	1
Zombieland	2009	75590286	88	Adventure	7.6	73	Ruben Fleischer	520041	10	7
Sherlock Holmes	2009	209028679	128	Action	7.6	57	Guy Ritchie	583158	15	3
The Blind Side	2009	255959475	129	Biography	7.6	53	John Lee Hancock	293266	14	4
The Visitor	2007	9422422	104	Drama	7.6	79	Tom McCarthy	41544	11	1
Seven Pounds	2008	69951824	123	Drama	7.6	36	Gabriele Muccino	286770	12	1
Eastern Promises	2007	17114882	100	Action	7.6	82	David Cronenberg	227760	16	3
Stardust	2007	38634938	127	Adventure	7.6	66	Matthew Vaughn	255036	8	7
The Secret of Kells	2009	686383	71	Animation	7.6	81	Tomm Moore	31779	19	8
Inside Man	2006	88513495	129	Crime	7.6	76	Spike Lee	339757	10	2
Gone Baby Gone	2007	20300218	114	Crime	7.6	72	Ben Affleck	250590	14	2
La Vie En Rose	2007	10301706	140	Biography	7.6	66	Olivier Dahan	82781	14	4
Huo Yuan Jia	2006	24633730	104	Action	7.6	70	Ronny Yu	72863	12	3
The Illusionist	2006	39868642	110	Drama	7.6	68	Neil Burger	354728	15	1
Dead Man's Shoes	2004	6013	90	Crime	7.6	52	Shane Meadows	49728	16	2
Harry Potter and the Half-Blood Prince	2009	301959197	153	Action	7.6	78	David Yates	474827	38	3
300	2006	210614939	117	Action	7.6	52	Zack Snyder	732876	3	3
Match Point	2005	23089926	124	Drama	7.6	72	Woody Allen	206294	11	1
Watchmen	2009	107509799	162	Action	7.6	56	Zack Snyder	500799	8	3
Lord of War	2005	24149632	122	Action	7.6	62	Andrew Niccol	294140	11	3
Saw	2004	56000369	103	Horror	7.6	46	James Wan	379020	3	9
Synecdoche, New York	2008	3081925	124	Drama	7.6	67	Charlie Kaufman	83158	20	1
Mysterious Skin	2004	697181	105	Drama	7.6	73	Gregg Araki	65939	15	1
Jeux d'enfants	2003	548707	93	Comedy	7.6	45	Yann Samuell	67360	14	6
Un long dimanche de fiançailles	2004	6167817	133	Drama	7.6	76	Jean-Pierre Jeunet	70925	31	1
The Station Agent	2003	5739376	89	Comedy	7.6	81	Tom McCarthy	67370	17	6
