name	year	gross	runtime	genre	imdb	metascore	director	votes	title_length	genre_num
The Great Escape	1963	12100000	172	Adventure	8.2	86	John Sturges	224730	16	7
Some Like It Hot	1959	2.5e+07	121	Comedy	8.2	98	Billy Wilder	243943	16	6
Du rififi chez les hommes	1955	57226	118	Crime	8.2	97	Jules Dassin	28810	25	2
Dial M for Murder	1954	12562	105	Crime	8.2	75	Alfred Hitchcock	158335	17	2
Rashômon	1950	96568	88	Crime	8.2	98	Akira Kurosawa	152572	8	2
All About Eve	1950	10177	138	Drama	8.2	98	Joseph L. Mankiewicz	120539	13	1
The Treasure of the Sierra Madre	1948	5014000	126	Adventure	8.2	98	John Huston	114304	32	7
Portrait de la jeune fille en feu	2019	3759854	122	Drama	8.1	95	Céline Sciamma	63134	33	1
Ah-ga-ssi	2016	2006788	145	Drama	8.1	84	Chan-wook Park	113649	9	1
Mommy	2014	3492754	139	Drama	8.1	74	Xavier Dolan	50700	5	1
Logan	2017	226277068	137	Action	8.1	77	James Mangold	647884	5	3
Room	2015	14677674	118	Drama	8.1	86	Lenny Abrahamson	371538	4	1
Relatos salvajes	2014	3107072	122	Comedy	8.1	77	Damián Szifron	177059	16	6
Kis Uykusu	2014	165520	196	Drama	8.1	88	Nuri Bilge Ceylan	46547	10	1
The Grand Budapest Hotel	2014	59100318	99	Adventure	8.1	88	Wes Anderson	707630	24	7
Gone Girl	2014	167767189	149	Drama	8.1	79	David Fincher	859695	9	1
Hacksaw Ridge	2016	67209615	139	Biography	8.1	71	Mel Gibson	435928	13	4
Inside Out	2015	356461711	95	Animation	8.1	94	Pete Docter	616228	10	8
12 Years a Slave	2013	56671993	134	Biography	8.1	96	Steve McQueen	640533	16	4
Rush	2013	26947624	123	Action	8.1	74	Ron Howard	432811	4	3
Ford v Ferrari	2019	117624028	152	Action	8.1	81	James Mangold	291289	14	3
Spotlight	2015	45055776	129	Biography	8.1	93	Tom McCarthy	420316	9	4
Song of the Sea	2014	857524	93	Animation	8.1	85	Tomm Moore	51679	15	8
Prisoners	2013	61002302	153	Crime	8.1	70	Denis Villeneuve	601149	9	2
Mad Max: Fury Road	2015	154058340	120	Action	8.1	90	George Miller	882316	18	3
Gran Torino	2008	148095302	116	Drama	8.1	72	Clint Eastwood	720450	11	1
Harry Potter and the Deathly Hallows: Part 2	2011	381011219	130	Adventure	8.1	85	David Yates	764493	44	7
Okuribito	2008	1498210	130	Drama	8.1	68	Yôjirô Takita	48582	9	1
How to Train Your Dragon	2010	217581231	98	Animation	8.1	75	Dean DeBlois	666773	24	8
Into the Wild	2007	18354356	148	Adventure	8.1	73	Sean Penn	572921	13	7
No Country for Old Men	2007	74283625	122	Crime	8.1	91	Ethan Coen	856916	22	2
Million Dollar Baby	2004	100492203	132	Drama	8.1	86	Clint Eastwood	635975	19	1
Hotel Rwanda	2004	23530892	121	Biography	8.1	79	Terry George	334320	12	4
Taegukgi hwinalrimyeo	2004	1111061	140	Action	8.1	64	Je-kyu Kang	37820	21	3
Before Sunset	2004	5820649	80	Drama	8.1	90	Richard Linklater	236311	13	1
Salinui chueok	2003	14131	131	Crime	8.1	82	Bong Joon Ho	139558	14	2
Kill Bill: Vol. 1	2003	70099045	111	Action	8.1	69	Quentin Tarantino	1000639	17	3
Finding Nemo	2003	380843261	100	Animation	8.1	90	Andrew Stanton	949565	12	8
Catch Me If You Can	2002	164615351	141	Biography	8.1	75	Steven Spielberg	832846	19	4
Amores perros	2000	5383834	154	Drama	8.1	83	Alejandro G. Iñárritu	223741	13	1
Monsters, Inc.	2001	289916256	92	Animation	8.1	79	Pete Docter	815505	14	8
Lagaan: Once Upon a Time in India	2001	70147	224	Adventure	8.1	84	Ashutosh Gowariker	105036	33	7
The Sixth Sense	1999	293506292	107	Drama	8.1	64	M. Night Shyamalan	911573	15	1
La leggenda del pianista sull'oceano	1998	259127	169	Drama	8.1	58	Giuseppe Tornatore	59020	36	1
The Truman Show	1998	125618201	103	Comedy	8.1	90	Peter Weir	939631	15	6
Crna macka, beli macor	1998	348660	127	Comedy	8.1	73	Emir Kusturica	50862	22	6
The Big Lebowski	1998	17498804	117	Comedy	8.1	71	Joel Coen	732620	16	6
Fa yeung nin wah	2000	2734044	98	Drama	8.1	85	Kar-Wai Wong	124383	16	1
Trainspotting	1996	16501785	93	Drama	8.1	83	Danny Boyle	634716	13	1
Fargo	1996	24611975	98	Crime	8.1	85	Joel Coen	617444	5	2
Before Sunrise	1995	5535405	101	Drama	8.1	77	Richard Linklater	272291	14	1
Trois couleurs: Rouge	1994	4043686	99	Drama	8.1	100	Krzysztof Kieslowski	90729	21	1
Chung Hing sam lam	1994	600200	102	Comedy	8.1	77	Kar-Wai Wong	63122	18	6
Jurassic Park	1993	402453882	127	Action	8.1	68	Steven Spielberg	867615	13	3
In the Name of the Father	1993	25010410	133	Biography	8.1	84	Jim Sheridan	156842	25	4
Dead Poets Society	1989	95860116	128	Comedy	8.1	79	Peter Weir	425457	18	6
Stand by Me	1986	52287414	89	Adventure	8.1	75	Rob Reiner	363401	11	7
Platoon	1986	138530565	120	Drama	8.1	92	Oliver Stone	381222	7	1
Paris, Texas	1984	2181987	145	Drama	8.1	78	Wim Wenders	91188	12	1
Kaze no tani no Naushika	1984	495770	117	Animation	8.1	86	Hayao Miyazaki	150924	24	8
The Thing	1982	13782838	109	Horror	8.1	57	John Carpenter	371271	9	9
Pink Floyd: The Wall	1982	22244207	95	Drama	8.1	47	Alan Parker	76081	20	1
Fanny och Alexander	1982	4971340	188	Drama	8.1	100	Ingmar Bergman	57784	19	1
Blade Runner	1982	32868943	117	Action	8.1	84	Ridley Scott	693827	12	3
Life of Brian	1979	20045115	94	Comedy	8.1	77	Terry Jones	367250	13	6
The Deer Hunter	1978	48979328	183	Drama	8.1	86	Michael Cimino	311361	15	1
Rocky	1976	117235247	120	Drama	8.1	70	John G. Avildsen	518546	5	1
Chinatown	1974	2.9e+07	130	Drama	8.1	92	Roman Polanski	294230	9	1
Paper Moon	1973	30933743	102	Comedy	8.1	77	Peter Bogdanovich	42285	10	6
Cool Hand Luke	1967	16217773	127	Crime	8.1	92	Stuart Rosenberg	161984	14	2
La battaglia di Algeri	1966	55908	121	Drama	8.1	96	Gillo Pontecorvo	53089	22	1
What Ever Happened to Baby Jane?	1962	4050000	134	Drama	8.1	75	Robert Aldrich	50058	32	1
Ben-Hur	1959	74700000	212	Adventure	8.1	90	William Wyler	219466	7	7
The Bridge on the River Kwai	1957	44908000	161	Adventure	8.1	87	David Lean	203463	28	7
On the Waterfront	1954	9600000	108	Crime	8.1	91	Elia Kazan	142107	17	2
Ace in the Hole	1951	3969893	111	Drama	8.1	72	Billy Wilder	31568	15	1
The Third Man	1949	449191	104	Film-Noir	8.1	97	Carol Reed	158731	13	11
The Shop Around the Corner	1940	203300	99	Comedy	8.1	96	Ernst Lubitsch	28450	26	6
Rebecca	1940	4360000	130	Drama	8.1	86	Alfred Hitchcock	123942	7	1
Mr. Smith Goes to Washington	1939	9600000	129	Comedy	8.1	73	Frank Capra	107017	28	6
Gone with the Wind	1939	198676459	238	Drama	8.1	97	Victor Fleming	290074	18	1
It Happened One Night	1934	4360000	105	Comedy	8.1	87	Frank Capra	94016	21	6
La La Land	2016	151101803	128	Comedy	8	94	Damien Chazelle	505918	10	6
Lion	2016	51739495	118	Biography	8	69	Garth Davis	213970	4	4
The Martian	2015	228433663	144	Adventure	8	80	Ridley Scott	760094	11	7
Zootopia	2016	341268248	108	Animation	8	78	Byron Howard	434143	8	8
Kaguyahime no monogatari	2013	1506975	137	Animation	8	89	Isao Takahata	38746	24	8
Wonder	2017	132422809	113	Drama	8	66	Stephen Chbosky	141923	6	1
Gully Boy	2019	5566534	154	Drama	8	65	Zoya Akhtar	31886	9	1
Short Term 12	2013	1010414	96	Drama	8	82	Destin Daniel Cretton	81770	13	1
Serbuan maut 2: Berandal	2014	2625803	150	Action	8	71	Gareth Evans	114316	24	3
The Imitation Game	2014	91125683	114	Biography	8	73	Morten Tyldum	685201	18	4
Guardians of the Galaxy	2014	333176600	121	Action	8	76	James Gunn	1043455	23	3
Blade Runner 2049	2017	92054159	164	Action	8	81	Denis Villeneuve	461823	17	3
Her	2013	25568251	126	Drama	8	90	Spike Jonze	540772	3	1
Bohemian Rhapsody	2018	216428042	134	Biography	8	49	Bryan Singer	450349	17	4
The Revenant	2015	183637894	156	Action	8	76	Alejandro G. Iñárritu	705589	12	3
The Perks of Being a Wallflower	2012	17738570	103	Drama	8	67	Stephen Chbosky	462252	31	1
Tropa de Elite 2: O Inimigo Agora é Outro	2010	100119	115	Action	8	71	José Padilha	79200	41	3
The King's Speech	2010	138797449	118	Biography	8	88	Tom Hooper	639603	17	4
The Help	2011	169708112	146	Drama	8	62	Tate Taylor	428521	8	1
Deadpool	2016	363070709	108	Action	8	65	Tim Miller	902669	8	3
Darbareye Elly	2009	106662	119	Drama	8	87	Asghar Farhadi	45803	14	1
My Name Is Khan	2010	4018695	165	Drama	8	50	Karan Johar	98575	15	1
Slumdog Millionaire	2008	141319928	120	Drama	8	84	Danny Boyle	798882	19	1
Black Swan	2010	106954678	108	Drama	8	79	Darren Aronofsky	699673	10	1
Tropa de Elite	2007	8060	115	Action	8	33	José Padilha	98097	14	3
The Avengers	2012	623279547	143	Action	8	69	Joss Whedon	1260806	12	3
Persepolis	2007	4445756	96	Animation	8	90	Vincent Paronnaud	88656	10	8
Dallas Buyers Club	2013	27298285	117	Biography	8	80	Jean-Marc Vallée	441614	18	4
The Pursuit of Happyness	2006	163566459	117	Biography	8	64	Gabriele Muccino	448930	24	4
Blood Diamond	2006	57366262	143	Adventure	8	64	Edward Zwick	499439	13	7
The Bourne Ultimatum	2007	227471070	115	Action	8	85	Paul Greengrass	604694	20	3
Bin-jip	2004	238507	88	Crime	8	72	Ki-duk Kim	50610	7	2
Sin City	2005	74103820	124	Crime	8	74	Frank Miller	738512	8	2
Le scaphandre et le papillon	2007	5990075	112	Biography	8	92	Julian Schnabel	103284	28	4
Ratatouille	2007	206445654	111	Animation	8	96	Brad Bird	641645	11	8
Casino Royale	2006	167445960	144	Action	8	80	Martin Campbell	582239	13	3
Kill Bill: Vol. 2	2004	66208183	137	Action	8	83	Quentin Tarantino	683900	17	3
Vozvrashchenie	2003	502028	110	Drama	8	82	Andrey Zvyagintsev	42399	14	1
Bom Yeoareum Gaeul Gyeoul Geurigo Bom	2003	2380788	103	Drama	8	85	Ki-duk Kim	77520	37	1
Mar adentro	2014	2086345	126	Biography	8	74	Alejandro Amenábar	77554	11	4
Cinderella Man	2005	61649911	144	Biography	8	69	Ron Howard	176151	14	4
Kal Ho Naa Ho	2003	1787378	186	Comedy	8	54	Nikkhil Advani	63460	13	6
Mou gaan dou	2002	169659	101	Action	8	75	Andrew Lau	117857	12	3
Pirates of the Caribbean: The Curse of the Black Pearl	2003	305413918	143	Action	8	63	Gore Verbinski	1015122	54	3
Big Fish	2003	66257002	125	Adventure	8	58	Tim Burton	415218	8	7
The Incredibles	2004	261441092	115	Animation	8	90	Brad Bird	657047	15	8
Dogville	2003	1530386	178	Crime	8	60	Lars von Trier	137963	8	2
Donnie Darko	2001	1480006	113	Drama	8	88	Richard Kelly	740086	12	1
Magnolia	1999	22455976	188	Drama	8	77	Paul Thomas Anderson	289742	8	1
Dancer in the Dark	2000	4184036	140	Crime	8	61	Lars von Trier	102285	18	2
The Straight Story	1999	6203044	112	Biography	8	86	David Lynch	82002	18	4
Festen	1998	1647780	105	Drama	8	82	Thomas Vinterberg	78341	6	1
Central do Brasil	1998	5595428	110	Drama	8	80	Walter Salles	36419	17	1
The Iron Giant	1999	23159305	86	Animation	8	85	Brad Bird	172083	14	8
Sling Blade	1996	24475416	135	Drama	8	84	Billy Bob Thornton	86838	11	1
Secrets & Lies	1996	13417292	136	Comedy	8	91	Mike Leigh	37564	14	6
Twelve Monkeys	1995	57141459	129	Mystery	8	74	Terry Gilliam	578443	14	10
Kôkaku Kidôtai	1995	515905	83	Animation	8	76	Mamoru Oshii	129231	14	8
The Nightmare Before Christmas	1993	75082668	76	Animation	8	82	Henry Selick	300208	30	8
Groundhog Day	1993	70906973	101	Comedy	8	72	Harold Ramis	577991	13	6
Bound by Honor	1993	4496583	180	Crime	8	47	Taylor Hackford	28825	14	2
Scent of a Woman	1992	63895607	156	Drama	8	59	Martin Brest	263918	16	1
Aladdin	1992	217350219	90	Animation	8	86	Ron Clements	373845	7	8
JFK	1991	70405498	189	Drama	8	72	Oliver Stone	142110	3	1
Beauty and the Beast	1991	218967620	84	Animation	8	95	Gary Trousdale	417178	20	8
Dances with Wolves	1990	184208848	181	Adventure	8	72	Kevin Costner	240266	18	7
Do the Right Thing	1989	27545445	120	Comedy	8	93	Spike Lee	89429	18	6
Rain Man	1988	178800000	133	Drama	8	65	Barry Levinson	473064	8	1
The Princess Bride	1987	30857814	98	Adventure	8	77	Rob Reiner	393899	18	7
Der Himmel über Berlin	1987	3333969	128	Drama	8	79	Wim Wenders	64722	22	1
Au revoir les enfants	1987	4542825	104	Drama	8	88	Louis Malle	31163	21	1
The Terminator	1984	38400000	107	Action	8	84	James Cameron	799795	14	3
Gandhi	1982	52767889	191	Biography	8	79	Richard Attenborough	217664	6	4
Being There	1979	30177511	130	Comedy	8	83	Hal Ashby	65625	11	6
Annie Hall	1977	39200000	93	Comedy	8	92	Woody Allen	251823	10	6
Jaws	1975	2.6e+08	124	Adventure	8	87	Steven Spielberg	543388	4	7
Dog Day Afternoon	1975	5e+07	125	Biography	8	86	Sidney Lumet	235652	17	4
Young Frankenstein	1974	86300000	106	Comedy	8	80	Mel Brooks	143359	18	6
Papillon	1973	53267000	151	Biography	8	58	Franklin J. Schaffner	121627	8	4
The Exorcist	1973	232906145	122	Horror	8	81	William Friedkin	362393	12	9
The Last Picture Show	1971	29133000	118	Drama	8	93	Peter Bogdanovich	42456	21	1
Fiddler on the Roof	1971	80500000	181	Drama	8	67	Norman Jewison	39491	19	1
Il conformista	1970	541940	113	Drama	8	100	Bernardo Bertolucci	27067	14	1
Butch Cassidy and the Sundance Kid	1969	102308889	110	Biography	8	66	George Roy Hill	201888	34	4
Planet of the Apes	1968	33395426	112	Adventure	8	79	Franklin J. Schaffner	165167	18	7
The Graduate	1967	104945305	106	Comedy	8	83	Mike Nichols	253676	12	6
The Sound of Music	1965	163214286	172	Biography	8	63	Robert Wise	205425	18	4
Doctor Zhivago	1965	111722000	197	Drama	8	69	David Lean	69903	14	1
Per un pugno di dollari	1964	14500000	99	Action	8	65	Sergio Leone	198219	23	3
8½	1963	50690	138	Drama	8	91	Federico Fellini	108844	2	1
The Hustler	1961	8284000	134	Drama	8	90	Robert Rossen	75067	11	1
La dolce vita	1960	19516000	174	Comedy	8	95	Federico Fellini	66621	13	6
Rio Bravo	1959	12535000	141	Action	8	93	Howard Hawks	56305	9	3
Anatomy of a Murder	1959	11900000	161	Crime	8	95	Otto Preminger	59847	19	2
Touch of Evil	1958	2237659	95	Crime	8	99	Orson Welles	98431	13	2
Cat on a Hot Tin Roof	1958	17570324	108	Drama	8	84	Richard Brooks	45062	21	1
The Night of the Hunter	1955	654000	92	Crime	8	99	Charles Laughton	81980	23	2
A Streetcar Named Desire	1951	8e+06	122	Drama	8	97	Elia Kazan	99182	24	1
The Best Years of Our Lives	1946	23650000	170	Drama	8	93	William Wyler	57259	27	1
The Maltese Falcon	1941	2108060	100	Film-Noir	8	96	John Huston	148928	18	11
The Grapes of Wrath	1940	55000	129	Drama	8	96	John Ford	85559	19	1
The Wizard of Oz	1939	2076020	102	Adventure	8	92	Victor Fleming	371379	16	7
All Quiet on the Western Front	1930	3270000	152	Drama	8	91	Lewis Milestone	57318	30	1
Bronenosets Potemkin	1925	50970	75	Drama	8	97	Sergei M. Eisenstein	53054	20	1
Knives Out	2019	165359751	130	Comedy	7.9	82	Rian Johnson	454203	10	6
Manbiki kazoku	2018	3313513	121	Crime	7.9	93	Hirokazu Koreeda	62754	14	2
Marriage Story	2019	2e+06	137	Comedy	7.9	94	Noah Baumbach	246644	14	6
Call Me by Your Name	2017	18095701	132	Drama	7.9	93	Luca Guadagnino	212651	20	1
I, Daniel Blake	2016	258168	100	Drama	7.9	78	Ken Loach	53818	15	1
Isle of Dogs	2018	32015231	101	Animation	7.9	82	Wes Anderson	139114	12	8
Hunt for the Wilderpeople	2016	5202582	101	Adventure	7.9	81	Taika Waititi	111483	25	7
Captain Fantastic	2016	5875006	118	Comedy	7.9	72	Matt Ross	189400	17	6
Sing Street	2016	3237118	106	Comedy	7.9	79	John Carney	85109	11	6
Thor: Ragnarok	2017	315058289	130	Action	7.9	74	Taika Waititi	587775	14	3
Nightcrawler	2014	32381218	117	Crime	7.9	76	Dan Gilroy	466134	12	2
Jojo Rabbit	2019	349555	108	Comedy	7.9	58	Taika Waititi	297918	11	6
Arrival	2016	100546139	116	Drama	7.9	81	Denis Villeneuve	594181	7	1
Star Wars: Episode VII - The Force Awakens	2015	936662225	138	Action	7.9	80	J.J. Abrams	860823	42	3
Before Midnight	2013	8114627	109	Drama	7.9	94	Richard Linklater	141457	15	1
X-Men: Days of Future Past	2014	233921534	132	Action	7.9	75	Bryan Singer	659763	26	3
Bir Zamanlar Anadolu'da	2011	138730	157	Crime	7.9	82	Nuri Bilge Ceylan	41995	23	2
The Artist	2011	44671682	100	Comedy	7.9	89	Michel Hazanavicius	230624	10	6
Edge of Tomorrow	2014	100206256	113	Action	7.9	71	Doug Liman	600004	16	3
Amour	2012	6739492	127	Drama	7.9	94	Michael Haneke	93090	5	1
The Irishman	2019	7e+06	209	Biography	7.9	94	Martin Scorsese	324720	12	4
Un prophète	2009	2084637	155	Crime	7.9	90	Jacques Audiard	93560	11	2
Moon	2009	5009677	97	Drama	7.9	67	Duncan Jones	335152	4	1
Låt den rätte komma in	2008	2122065	114	Crime	7.9	82	Tomas Alfredson	205609	22	2
District 9	2009	115646235	112	Action	7.9	81	Neill Blomkamp	638202	10	3
The Wrestler	2008	26236603	109	Drama	7.9	80	Darren Aronofsky	289415	12	1
Boyhood	2014	25379975	165	Drama	7.9	100	Richard Linklater	335533	7	1
4 luni, 3 saptamâni si 2 zile	2007	1185783	113	Drama	7.9	97	Cristian Mungiu	56625	29	1
Star Trek	2009	257730019	127	Action	7.9	82	J.J. Abrams	577336	9	3
In Bruges	2008	7757130	107	Comedy	7.9	67	Martin McDonagh	390334	9	6
Letters from Iwo Jima	2006	13756082	141	Action	7.9	89	Clint Eastwood	154011	21	3
The Fall	2006	2280348	117	Adventure	7.9	64	Tarsem Singh	107290	8	7
Life of Pi	2012	124987023	127	Adventure	7.9	79	Ang Lee	580708	10	7
Fantastic Mr. Fox	2009	21002919	87	Animation	7.9	83	Wes Anderson	199696	17	8
Les choristes	2004	3635164	97	Drama	7.9	56	Christophe Barratier	57430	13	1
Iron Man	2008	318412101	126	Action	7.9	79	Jon Favreau	939644	8	3
Shaun of the Dead	2004	13542874	99	Comedy	7.9	76	Edgar Wright	512249	17	6
Mystic River	2003	90135191	138	Crime	7.9	84	Clint Eastwood	419420	12	2
Harry Potter and the Prisoner of Azkaban	2004	249358727	142	Adventure	7.9	82	Alfonso Cuarón	552493	40	7
Ying xiong	2002	53710019	120	Action	7.9	85	Yimou Zhang	173999	10	3
Hable con ella	2002	9284265	112	Drama	7.9	86	Pedro Almodóvar	104691	14	1
No Man's Land	2001	1059830	98	Comedy	7.9	84	Danis Tanovic	44618	13	6
Cowboy Bebop: Tengoku no tobira	2001	1000045	115	Animation	7.9	61	Shin'ichirô Watanabe	42897	31	8
The Bourne Identity	2002	121661683	119	Action	7.9	68	Doug Liman	508771	19	3
Nueve reinas	2000	1221261	114	Crime	7.9	80	Fabián Bielinsky	49721	12	2
Children of Men	2006	35552383	109	Adventure	7.9	84	Alfonso Cuarón	465113	15	7
Almost Famous	2000	32534850	122	Adventure	7.9	90	Cameron Crowe	252586	13	7
Mulholland Dr.	2001	7220243	147	Drama	7.9	85	David Lynch	322031	14	1
Toy Story 2	1999	245852179	92	Animation	7.9	88	John Lasseter	527512	11	8
Boogie Nights	1997	26400640	155	Drama	7.9	85	Paul Thomas Anderson	239473	13	1
Once Were Warriors	1994	2201126	102	Crime	7.9	77	Lee Tamahori	31590	18	2
True Romance	1993	12281500	119	Crime	7.9	59	Tony Scott	206918	12	2
Trois couleurs: Bleu	1993	1324974	94	Drama	7.9	85	Krzysztof Kieslowski	89836	20	1
Carlito's Way	1993	36948322	144	Crime	7.9	65	Brian De Palma	201000	13	2
Edward Scissorhands	1990	56362352	105	Drama	7.9	74	Tim Burton	447368	19	1
My Left Foot: The Story of Christy Brown	1989	14743391	103	Biography	7.9	97	Jim Sheridan	68076	40	4
Crimes and Misdemeanors	1989	18254702	104	Comedy	7.9	77	Woody Allen	54670	23	6
The Untouchables	1987	76270454	119	Crime	7.9	79	Brian De Palma	281842	16	2
Hannah and Her Sisters	1986	40084041	107	Comedy	7.9	90	Woody Allen	67176	22	6
Brazil	1985	9929135	132	Drama	7.9	84	Terry Gilliam	187567	6	1
This Is Spinal Tap	1984	188751	82	Comedy	7.9	92	Rob Reiner	128812	18	6
A Christmas Story	1983	20605209	93	Comedy	7.9	77	Bob Clark	132947	17	6
The Blues Brothers	1980	57229890	133	Action	7.9	60	John Landis	183182	18	3
Manhattan	1979	45700000	96	Comedy	7.9	83	Woody Allen	131436	9	6
All That Jazz	1979	37823676	123	Drama	7.9	72	Bob Fosse	28223	13	1
Dawn of the Dead	1978	5100000	127	Action	7.9	71	George A. Romero	111512	16	3
All the President's Men	1976	70600000	138	Biography	7.9	84	Alan J. Pakula	103031	23	4
La montaña sagrada	1973	61001	114	Adventure	7.9	76	Alejandro Jodorowsky	37183	18	7
Le charme discret de la bourgeoisie	1972	198809	102	Comedy	7.9	93	Luis Buñuel	38737	35	6
Patton	1970	61700000	172	Biography	7.9	91	Franklin J. Schaffner	93741	6	4
The Wild Bunch	1969	12064472	145	Action	7.9	97	Sam Peckinpah	77401	14	3
Night of the Living Dead	1968	89029	96	Horror	7.9	89	George A. Romero	116557	24	9
In the Heat of the Night	1967	24379978	110	Crime	7.9	75	Norman Jewison	67804	24	2
Charade	1963	13474588	113	Comedy	7.9	83	Stanley Donen	68689	7	6
Spartacus	1960	3e+07	197	Adventure	7.9	87	Stanley Kubrick	124339	9	7
High Noon	1952	9450000	85	Drama	7.9	89	Fred Zinnemann	97222	9	1
Strangers on a Train	1951	7630000	101	Crime	7.9	88	Alfred Hitchcock	123341	20	2
Miracle on 34th Street	1947	2650000	96	Comedy	7.9	88	George Seaton	41625	22	6
Notorious	1946	10464000	102	Drama	7.9	100	Alfred Hitchcock	92306	9	1
The Adventures of Robin Hood	1938	3981000	102	Action	7.9	97	Michael Curtiz	47175	28	3
King Kong	1933	1e+07	100	Adventure	7.9	90	Merian C. Cooper	78991	9	7
Forushande	2016	2402067	124	Drama	7.8	85	Asghar Farhadi	51240	10	1
Dunkirk	2017	188373161	106	Action	7.8	94	Christopher Nolan	555092	7	3
Hidden Figures	2016	169607287	127	Biography	7.8	74	Theodore Melfi	200876	14	4
Paddington 2	2017	40442052	103	Adventure	7.8	88	Paul King	61594	12	7
Kubo and the Two Strings	2016	48023088	101	Animation	7.8	84	Travis Knight	118035	24	8
Manchester by the Sea	2016	47695120	137	Drama	7.8	96	Kenneth Lonergan	246963	21	1
Under sandet	2015	435266	100	Drama	7.8	75	Martin Zandvliet	35539	12	1
Rogue One	2016	532177324	133	Action	7.8	65	Gareth Edwards	556608	9	3
Captain America: Civil War	2016	408084349	147	Action	7.8	75	Anthony Russo	663649	26	3
The Hateful Eight	2015	54117416	168	Crime	7.8	68	Quentin Tarantino	517059	17	2
Little Women	2019	108101214	135	Drama	7.8	91	Greta Gerwig	143250	12	1
Loving Vincent	2017	6735118	94	Animation	7.8	62	Dorota Kobiela	50778	14	8
Le passé	2013	1330596	130	Drama	7.8	85	Asghar Farhadi	45002	8	1
La grande bellezza	2013	2852400	141	Drama	7.8	86	Paolo Sorrentino	81125	18	1
The Lunchbox	2013	4231500	104	Drama	7.8	76	Ritesh Batra	50523	12	1
Big Hero 6	2014	222527828	102	Animation	7.8	74	Don Hall	410983	10	8
About Time	2013	15322921	123	Comedy	7.8	55	Richard Curtis	303032	10	6
Kaze tachinu	2013	5209580	126	Animation	7.8	83	Hayao Miyazaki	73690	12	8
Toy Story 4	2019	434038008	100	Animation	7.8	84	Josh Cooley	203177	11	8
La migliore offerta	2013	85433	131	Crime	7.8	49	Giuseppe Tornatore	108399	19	2
Moonrise Kingdom	2012	45512466	94	Comedy	7.8	84	Wes Anderson	318789	16	6
How to Train Your Dragon 2	2014	177002924	102	Animation	7.8	76	Dean DeBlois	305611	26	8
The Big Short	2015	70259870	130	Biography	7.8	81	Adam McKay	362942	13	4
Ang-ma-reul bo-at-da	2010	128392	144	Action	7.8	67	Jee-woon Kim	111252	20	3
The Girl with the Dragon Tattoo	2011	102515793	158	Crime	7.8	71	David Fincher	423010	31	2
Captain Phillips	2013	107100855	134	Adventure	7.8	82	Paul Greengrass	421244	16	7
Straight Outta Compton	2015	161197785	147	Biography	7.8	72	F. Gary Gray	179264	22	4
Madeo	2009	547292	129	Crime	7.8	79	Bong Joon Ho	52758	5	2
The Hobbit: The Desolation of Smaug	2013	258366855	161	Adventure	7.8	66	Peter Jackson	601408	35	7
Das weiße Band - Eine deutsche Kindergeschichte	2009	2222647	144	Drama	7.8	82	Michael Haneke	68715	47	1
Män som hatar kvinnor	2009	10095170	152	Crime	7.8	76	Niels Arden Oplev	208994	21	2
The Fighter	2010	93617009	116	Biography	7.8	79	David O. Russell	340584	11	4
Taken	2008	145000989	90	Action	7.8	51	Pierre Morel	564791	5	3
The Boy in the Striped Pyjamas	2008	9030581	94	Drama	7.8	55	Mark Herman	190748	30	1
Once	2007	9439923	86	Drama	7.8	88	John Carney	110656	4	1
The Hobbit: An Unexpected Journey	2012	303003568	169	Adventure	7.8	58	Peter Jackson	757377	33	7
Auf der anderen Seite	2007	741283	122	Drama	7.8	85	Fatih Akin	30827	21	1
Atonement	2007	50927067	123	Drama	7.8	85	Joe Wright	251370	9	1
Drive	2011	35061555	100	Crime	7.8	78	Nicolas Winding Refn	571571	5	2
American Gangster	2007	130164645	157	Biography	7.8	76	Ridley Scott	392449	17	4
Avatar	2009	760507625	162	Action	7.8	83	James Cameron	1118998	6	3
Mr. Nobody	2009	3600	141	Drama	7.8	63	Jaco Van Dormael	216421	10	1
Apocalypto	2006	50866635	139	Action	7.8	68	Mel Gibson	291018	10	3
Little Miss Sunshine	2006	59891098	101	Comedy	7.8	80	Jonathan Dayton	439856	20	6
Hot Fuzz	2007	23637265	121	Action	7.8	81	Edgar Wright	463466	8	3
The Curious Case of Benjamin Button	2008	127509326	166	Drama	7.8	70	David Fincher	589160	35	1
Veer-Zaara	2004	2921738	192	Drama	7.8	67	Yash Chopra	49050	10	1
Adams æbler	2005	1305	94	Comedy	7.8	51	Anders Thomas Jensen	45717	11	6
Pride & Prejudice	2005	38405088	129	Drama	7.8	82	Joe Wright	258924	17	1
The World's Fastest Indian	2005	5128124	127	Biography	7.8	68	Roger Donaldson	51980	26	4
Tôkyô goddofâzâzu	2003	128985	90	Animation	7.8	73	Satoshi Kon	31658	17	8
Serenity	2005	25514517	119	Action	7.8	74	Joss Whedon	283310	8	3
Walk the Line	2005	119519402	136	Biography	7.8	72	James Mangold	234207	13	4
Ondskan	2003	15280	113	Drama	7.8	61	Mikael Håfström	35682	7	1
The Notebook	2004	81001787	123	Drama	7.8	53	Nick Cassavetes	520284	12	1
Diarios de motocicleta	2004	16756372	126	Adventure	7.8	75	Walter Salles	96703	22	7
